area,occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
33,45-0000,840.0,9.6,1.24,0.44,19.64,40860.0,2.7,15.0,18.99,22.92,31200.0,39500.0,47660.0
34,45-0000,5000.0,13.6,1.189,0.42,19.07,39660.0,2.7,16.21,17.12,21.19,33710.0,35610.0,44080.0
35,45-0000,3170.0,7.6,3.745,1.32,17.1,35560.0,2.7,12.98,15.8,19.23,26990.0,32870.0,39990.0
36,45-0000,5130.0,6.9,0.546,0.19,20.92,43520.0,1.2,16.72,18.46,23.26,34770.0,38390.0,48380.0
37,45-0000,7180.0,4.4,1.497,0.53,19.16,39840.0,1.5,14.78,17.45,21.89,30730.0,36290.0,45530.0
38,45-0000,1040.0,9.1,2.482,0.87,22.79,47410.0,1.9,17.68,21.79,23.99,36770.0,45320.0,49900.0
39,45-0000,6130.0,7.8,1.121,0.39,21.33,44370.0,2.7,15.13,19.44,24.27,31470.0,40430.0,50480.0
40,45-0000,3960.0,7.4,2.38,0.84,19.19,39910.0,1.7,14.23,16.91,21.5,29600.0,35170.0,44710.0
41,45-0000,14980.0,2.3,7.708,2.71,20.62,42890.0,1.2,15.99,17.16,23.9,33260.0,35690.0,49710.0
42,45-0000,6390.0,3.6,1.075,0.38,20.0,41590.0,1.4,14.42,18.41,23.77,29990.0,38290.0,49440.0
44,45-0000,210.0,30.8,0.424,0.15,19.95,41500.0,3.2,16.75,17.08,20.6,34840.0,35520.0,42850.0
45,45-0000,3120.0,3.4,1.405,0.49,19.81,41200.0,1.6,14.35,18.15,23.15,29840.0,37740.0,48160.0
46,45-0000,1760.0,6.8,3.955,1.39,19.15,39830.0,1.5,16.39,18.07,20.96,34090.0,37590.0,43610.0
47,45-0000,5490.0,9.6,1.705,0.6,18.35,38160.0,2.4,14.62,16.4,19.21,30410.0,34110.0,39960.0
48,45-0000,15210.0,4.9,1.122,0.39,18.3,38060.0,1.3,13.82,16.62,21.03,28750.0,34570.0,43740.0
49,45-0000,1200.0,8.2,0.713,0.25,20.11,41820.0,1.9,16.1,18.68,22.94,33480.0,38860.0,47720.0
50,45-0000,620.0,12.4,2.067,0.73,21.87,45490.0,1.8,17.45,21.19,24.24,36300.0,44080.0,50420.0
51,45-0000,5290.0,4.8,1.329,0.47,20.89,43450.0,1.7,16.05,18.55,23.97,33370.0,38580.0,49850.0
53,45-0000,16850.0,4.8,4.821,1.69,20.99,43660.0,1.1,16.4,17.88,23.07,34110.0,37200.0,47980.0
54,45-0000,1660.0,3.3,2.417,0.85,18.87,39240.0,2.6,14.14,16.85,21.54,29420.0,35050.0,44800.0
55,45-0000,4030.0,4.6,1.397,0.49,19.42,40390.0,1.6,14.65,18.88,22.73,30460.0,39260.0,47270.0
56,45-0000,580.0,6.4,2.114,0.74,18.05,37550.0,1.3,14.26,17.09,21.24,29660.0,35540.0,44190.0
1,47-0000,86100.0,1.6,41.938,1.02,23.52,48910.0,0.5,17.43,22.08,28.35,36250.0,45930.0,58970.0
2,47-0000,19580.0,2.0,62.834,1.53,35.89,74650.0,1.0,25.47,33.35,44.43,52980.0,69370.0,92410.0
4,47-0000,156440.0,1.3,49.984,1.22,27.16,56490.0,0.5,21.61,24.93,30.59,44940.0,51840.0,63630.0
5,47-0000,50100.0,1.4,39.412,0.96,22.31,46400.0,0.7,17.31,21.0,25.68,36010.0,43680.0,53420.0
6,47-0000,668430.0,1.0,37.247,0.91,35.69,74240.0,0.4,24.03,31.08,44.02,49970.0,64640.0,91550.0
8,47-0000,138730.0,0.9,48.987,1.19,29.11,60560.0,0.5,22.56,27.9,33.57,46930.0,58030.0,69830.0
9,47-0000,48190.0,1.4,29.023,0.71,32.24,67060.0,0.7,23.6,30.41,37.67,49090.0,63250.0,78360.0
10,47-0000,16480.0,1.9,35.111,0.86,29.48,61320.0,1.2,21.82,27.77,36.15,45390.0,57760.0,75180.0
11,47-0000,12040.0,3.3,17.148,0.42,33.54,69750.0,2.0,23.64,30.29,38.88,49160.0,63000.0,80870.0
12,47-0000,446940.0,1.6,46.711,1.14,24.65,51280.0,0.4,18.2,22.73,28.27,37860.0,47270.0,58800.0
13,47-0000,141180.0,1.5,29.672,0.72,25.23,52480.0,0.5,18.13,22.97,29.43,37720.0,47770.0,61210.0
15,47-0000,30390.0,1.3,49.249,1.2,38.35,79770.0,0.9,27.74,37.69,49.71,57700.0,78400.0,103400.0
16,47-0000,52310.0,1.4,63.584,1.55,25.12,52260.0,0.7,18.86,23.05,29.41,39220.0,47950.0,61160.0
17,47-0000,188740.0,1.2,31.395,0.77,36.99,76930.0,0.9,24.04,36.71,48.57,50000.0,76370.0,101020.0
18,47-0000,131890.0,0.8,41.782,1.02,29.48,61310.0,0.4,22.3,28.2,36.86,46390.0,58660.0,76660.0
19,47-0000,70400.0,1.1,45.576,1.11,27.86,57940.0,0.5,22.01,26.07,32.56,45780.0,54230.0,67720.0
20,47-0000,61020.0,1.3,43.215,1.05,26.45,55010.0,0.7,18.88,23.34,31.06,39260.0,48550.0,64610.0
21,47-0000,71850.0,1.2,36.602,0.89,25.79,53650.0,0.5,18.81,23.65,30.3,39120.0,49190.0,63020.0
22,47-0000,108350.0,1.4,58.511,1.43,25.36,52760.0,0.5,18.13,23.38,30.43,37710.0,48630.0,63280.0
23,47-0000,30890.0,1.2,49.675,1.21,26.95,56050.0,0.6,22.06,25.0,30.06,45880.0,52000.0,62520.0
24,47-0000,114330.0,1.4,42.701,1.04,29.1,60530.0,0.7,21.8,27.35,34.91,45340.0,56880.0,72620.0
25,47-0000,136120.0,1.4,37.36,0.91,38.04,79120.0,0.8,26.6,36.61,47.44,55330.0,76150.0,98680.0
26,47-0000,156730.0,1.0,36.046,0.88,29.13,60600.0,0.6,22.22,27.79,35.67,46220.0,57790.0,74200.0
27,47-0000,110960.0,1.2,38.513,0.94,33.93,70580.0,0.7,24.36,31.62,42.21,50670.0,65770.0,87800.0
28,47-0000,43870.0,1.1,38.149,0.93,23.3,48450.0,0.8,17.01,21.11,28.43,35380.0,43910.0,59130.0
29,47-0000,110430.0,1.1,38.392,0.94,29.97,62340.0,0.8,21.26,28.03,37.78,44220.0,58300.0,78580.0
30,47-0000,33260.0,1.6,66.295,1.62,28.36,58990.0,0.8,22.47,27.39,33.84,46740.0,56960.0,70390.0
31,47-0000,49450.0,1.2,49.41,1.21,26.17,54430.0,0.6,19.72,23.34,30.08,41020.0,48540.0,62560.0
32,47-0000,87330.0,1.3,58.937,1.44,31.51,65540.0,0.9,22.66,28.88,38.06,47120.0,60070.0,79170.0
33,47-0000,24310.0,1.6,36.006,0.88,28.56,59410.0,0.6,21.93,27.05,33.88,45610.0,56260.0,70480.0
34,47-0000,126850.0,1.4,30.187,0.74,37.43,77840.0,1.1,24.38,33.48,48.55,50720.0,69630.0,100980.0
35,47-0000,54790.0,1.3,64.8,1.58,25.03,52060.0,0.6,18.18,22.56,29.22,37810.0,46930.0,60780.0
36,47-0000,338430.0,1.7,36.031,0.88,35.36,73550.0,0.7,23.57,30.77,43.65,49020.0,64000.0,90790.0
37,47-0000,189140.0,1.0,39.445,0.96,24.51,50980.0,0.4,18.44,22.81,28.52,38360.0,47440.0,59320.0
38,47-0000,32010.0,2.0,76.671,1.87,30.89,64250.0,0.8,23.46,28.9,35.77,48790.0,60110.0,74400.0
39,47-0000,185300.0,0.9,33.881,0.83,29.34,61020.0,0.5,22.25,28.53,35.94,46280.0,59340.0,74760.0
40,47-0000,83080.0,1.3,49.917,1.22,25.21,52440.0,0.6,18.26,22.7,29.31,37980.0,47220.0,60970.0
41,47-0000,86240.0,1.5,44.379,1.08,33.05,68740.0,0.5,23.25,29.57,40.57,48360.0,61500.0,84380.0
42,47-0000,216770.0,0.9,36.442,0.89,29.72,61810.0,0.6,22.07,27.59,35.69,45900.0,57390.0,74220.0
44,47-0000,17550.0,2.5,35.944,0.88,32.28,67140.0,1.5,23.27,29.86,37.82,48400.0,62110.0,78670.0
45,47-0000,77590.0,1.5,34.905,0.85,23.98,49880.0,0.7,17.99,22.48,28.3,37420.0,46750.0,58860.0
46,47-0000,24840.0,1.1,55.896,1.36,24.08,50080.0,0.6,18.66,22.71,28.35,38800.0,47240.0,58970.0
47,47-0000,122640.0,1.1,38.098,0.93,24.73,51440.0,0.5,18.57,22.73,28.84,38620.0,47270.0,59990.0
48,47-0000,639170.0,1.4,47.144,1.15,25.13,52260.0,0.5,18.4,22.77,28.99,38280.0,47370.0,60300.0
49,47-0000,106660.0,1.1,63.542,1.55,26.7,55530.0,0.5,20.63,24.39,30.66,42900.0,50740.0,63780.0
50,47-0000,13960.0,1.4,46.426,1.13,26.92,55990.0,0.6,22.42,25.0,29.72,46630.0,52000.0,61820.0
51,47-0000,163520.0,1.4,41.075,1.0,26.38,54860.0,0.6,19.08,23.76,30.13,39690.0,49420.0,62670.0
53,47-0000,173070.0,0.9,49.512,1.21,37.17,77320.0,0.6,25.79,34.29,46.53,53640.0,71330.0,96780.0
54,47-0000,41570.0,1.2,60.363,1.47,26.8,55740.0,0.6,18.36,24.1,31.7,38190.0,50130.0,65940.0
